country,region,league_name,platform,active_url,current_season_name,current_divisions,seasons_available,current_targets_total,current_targets_scraped,current_status,history_targets_total,history_targets_scraped,history_status,overall_status,started_at,finished_at,notes
England,Leicestershire,Loughborough Table Tennis League,ttleagues,https://loughborough.ttleagues.com,Loughborough 2025-2026,4,11,4,0,pending,20,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lincolnshire,Boston Table Tennis League,ttleagues,https://boston.ttleagues.com,Boston & District Table-Tennis League 2025/2026,2,8,2,0,pending,8,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lincolnshire,Gainsborough Table Tennis League,tt365,https://www.tabletennis365.com/gainsborough,Winter 2019-20,1,7,1,0,pending,7,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Lincolnshire,Grantham Table Tennis League,ttleagues,https://grantham.ttleagues.com,G&DTTL 2022,3,25,3,0,pending,9,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lincolnshire,Grimsby and Cleethorpes Table Tennis League,ttleagues,https://grimsbyandcleethorpes.ttleagues.com,2024-25,4,8,4,0,pending,20,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lincolnshire,Lincoln Table Tennis League,ttleagues,https://lincoln.ttleagues.com,DIVISION THREE 25/26,1,11,1,0,pending,5,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lincolnshire,Spalding Table Tennis League,ttleagues,https://spalding.ttleagues.com,Winter 2019/20,1,1,1,0,pending,0,0,not_required,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lincolnshire,Stamford and Rutland Table Tennis League,ttleagues,https://stamfordandrutland.ttleagues.com,2025/26 League,3,19,3,0,pending,11,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,London and Middlesex,Central London Table Tennis League,ttleagues,https://centrallondon.ttleagues.com,CLTTL 19-20,7,1,7,0,pending,0,0,not_required,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,London and Middlesex,London Banks and Civil Service Table Tennis League,tt365,https://www.tabletennis365.com/LondonBanksAndCivilService,Winter Season 25-26,3,8,3,0,pending,17,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,London and Middlesex,North Middlesex Table Tennis League,tt365,https://www.tabletennis365.com/northmiddlesex,Winter 2025-2026,3,7,3,0,pending,20,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,London and Middlesex,South and West Middlesex Table Tennis League,ttleagues,https://southandwestmiddlesex.ttleagues.com,S&W MIDDX 2025/26,2,10,2,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,London and Middlesex,Staines Table Tennis League,ttleagues,https://staines.ttleagues.com,Staines and District League 2025/26,3,10,3,0,pending,15,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,London and Middlesex,Wembley and Harrow Table Tennis League,tt365,https://www.tabletennis365.com/WembleyAndHarrow,Winter 2024-25,8,7,8,0,pending,25,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
